index,time_s,acc,vel,s,X,Y,Z,L_raw,L_trim,ux,uy,uz
118,0.059000000,590.000000000,33.614300531,1.298647065,98.646937405,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
119,0.059500000,595.000000000,33.910550531,1.315528173,98.630056296,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
120,0.060000000,600.000000000,34.209300531,1.332558032,98.613026438,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
121,0.060500000,605.000000000,34.510550531,1.349737890,98.595846579,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
122,0.061000000,610.000000000,34.814300531,1.367068999,98.578515470,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
123,0.061500000,615.000000000,35.120550531,1.384552608,98.561031862,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
124,0.062000000,620.000000000,35.429300531,1.402189966,98.543394503,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
125,0.062500000,625.000000000,35.740550531,1.419982325,98.525602145,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
126,0.063000000,630.000000000,36.054300531,1.437930933,98.507653536,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
127,0.063500000,635.000000000,36.370550531,1.456037042,98.489547427,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
128,0.064000000,640.000000000,36.689300531,1.474301901,98.471282569,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
129,0.064500000,645.000000000,37.010550531,1.492726759,98.452857710,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
130,0.065000000,650.000000000,37.334300531,1.511312868,98.434271602,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
131,0.065500000,655.000000000,37.660550531,1.530061476,98.415522993,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
132,0.066000000,660.000000000,37.989300531,1.548973835,98.396610634,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
133,0.066500000,665.000000000,38.320550531,1.568051194,98.377533276,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
134,0.067000000,670.000000000,38.654300531,1.587294802,98.358289667,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
135,0.067500000,675.000000000,38.990550531,1.606705911,98.338878559,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
136,0.068000000,680.000000000,39.329300531,1.626285769,98.319298700,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
137,0.068500000,685.000000000,39.670550531,1.646035628,98.299548841,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
138,0.069000000,690.000000000,40.014300531,1.665956737,98.279627733,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
139,0.069500000,695.000000000,40.360550531,1.686050345,98.259534124,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
140,0.070000000,700.000000000,40.709300531,1.706317704,98.239266766,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
141,0.070500000,705.000000000,41.060550531,1.726760062,98.218824407,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
142,0.071000000,710.000000000,41.414300531,1.747378671,98.198205798,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
143,0.071500000,715.000000000,41.770550531,1.768174780,98.177409690,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
144,0.072000000,720.000000000,42.129300531,1.789149638,98.156434831,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
145,0.072500000,725.000000000,42.490550531,1.810304497,98.135279973,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
146,0.073000000,730.000000000,42.854300531,1.831640605,98.113943864,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
147,0.073500000,735.000000000,43.220550531,1.853159214,98.092425255,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
148,0.074000000,740.000000000,43.589300531,1.874861573,98.070722897,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
149,0.074500000,745.000000000,43.960550531,1.896748931,98.048835538,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
150,0.075000000,750.000000000,44.334300531,1.918822540,98.026761930,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
151,0.075500000,755.000000000,44.710550531,1.941083648,98.004500821,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
152,0.076000000,760.000000000,45.089300531,1.963533507,97.982050962,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
153,0.076500000,765.000000000,45.470550531,1.986173366,97.959411104,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
154,0.077000000,770.000000000,45.854300531,2.009004474,97.936579995,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
155,0.077500000,775.000000000,46.240550531,2.032028083,97.913556387,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
156,0.078000000,780.000000000,46.629300531,2.055245441,97.890339028,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
157,0.078500000,785.000000000,47.020550531,2.078657800,97.866926669,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
158,0.079000000,790.000000000,47.414300531,2.102266409,97.843318061,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
159,0.079500000,795.000000000,47.810550531,2.126072517,97.819511952,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
160,0.080000000,800.000000000,48.209300531,2.150077376,97.795507094,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
161,0.080500000,805.000000000,48.610550531,2.174282234,97.771302235,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
162,0.081000000,810.000000000,49.014300531,2.198688343,97.746896126,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
163,0.081500000,815.000000000,49.420550531,2.223296952,97.722287518,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
164,0.082000000,820.000000000,49.829300531,2.248109310,97.697475159,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
165,0.082500000,825.000000000,50.240550531,2.273126669,97.672457801,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
166,0.083000000,830.000000000,50.654300531,2.298350277,97.647234192,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
167,0.083500000,835.000000000,51.070550531,2.323781386,97.621803083,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
168,0.084000000,840.000000000,51.489300531,2.349421245,97.596163225,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
169,0.084500000,845.000000000,51.910550531,2.375271103,97.570313366,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
170,0.085000000,850.000000000,52.334300531,2.401332212,97.544252258,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
171,0.085500000,855.000000000,52.760550531,2.427605820,97.517978649,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
172,0.086000000,860.000000000,53.189300531,2.454093179,97.491491290,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
173,0.086500000,865.000000000,53.620550531,2.480795538,97.464788932,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
174,0.087000000,870.000000000,54.054300531,2.507714146,97.437870323,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
175,0.087500000,875.000000000,54.490550531,2.534850255,97.410734215,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
176,0.088000000,880.000000000,54.929300531,2.562205113,97.383379356,100.000000000,0.000000000,100.000000000,99.911442334,-1.000000000,0.000000000,0.000000000
